ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000098;DENIS;ANDRE LE CORBEAU;ANIMAL LES AVENTURES D'ANDRE LE CORBEAU;;18.29;17.6;AVENTURE;6052195;ALBIN MICHEL;9782226094704;HACHETTE;;;
BD000099;DENIS;;LES SEPT PECHES CAPITAUX;;11.89;11.3;AVENTURE;6052328;ALBIN MICHEL;9782226100504;HACHETTE;;;
BD000100;DIMITRI;KALEUNT;KALEUNT;;8.69;8.26;AVENTURE;6051064;ALBIN MICHEL;9782226031723;HACHETTE;;;
BD000101;DIMITRI;RASPOUTITSA;RASPOUTITSA;;10.52;9.99;AVENTURE;6020333;ALBIN MICHEL;9782226037305;HACHETTE;;;
BD000102;DIMITRI;LE GOULAG;LES ZOMES - T3;;9.91;9.41;HUMOUR;6002117;ALBIN MICHEL;9782226020550;HACHETTE;;;
BD000103;DIMITRI;LE GOULAG;LES POURRIS - T5;;8.99;8.54;HUMOUR;6003222;ALBIN MICHEL;9782226016461;HACHETTE;;;
BD000104;DIMITRI;LE GOULAG;LE MATCH DU SIECLE - T6;;8.99;8.54;HUMOUR;6005029;ALBIN MICHEL;9782226021304;HACHETTE;;;
BD000105;DIMITRI;LE GOULAG;TOVARITCH SOURIRE - T9;;9.91;9.41;HUMOUR;6019095;ALBIN MICHEL;9782226035585;HACHETTE;;;
BD000106;DIMITRI;LE GOULAG;LA BELLE - T10;;10.52;9.99;HUMOUR;6022222;ALBIN MICHEL;9782226048806;HACHETTE;;;
BD000107;DIMITRI;LE GOULAG;EXOCET NOUS VOILA - T11;;10.52;9.99;HUMOUR;6024186;ALBIN MICHEL;9782226055613;HACHETTE;;;
BD000108;DIMITRI;LE GOULAG;HALTE A LA VISCERE - T12;;10.52;9.99;HUMOUR;6026165;ALBIN MICHEL;9782226059932;HACHETTE;;;
BD000109;DODO / BEN RADIS;GOMINA;GOMINA LE POINT DU JOUR;;7.93;7.1;HUMOUR;6051023;ALBIN MICHEL;9782226029768;HACHETTE;;;
BD000110;DODO / BEN RADIS;MAX ET NINA;Y A DE L'AMOUR;;11.89;11.3;HUMOUR;6052211;ALBIN MICHEL;9782226095336;HACHETTE;;;
BD000111;DRUILLET;SALAMMBO;SALAMMBO L'INTEGRALE;;28.97;27.52;AVENTURE;6051999;ALBIN MICHEL;9782226106407;HACHETTE;;;
BD000112;FLOC'H / FROMENTAL;;JAMAIS DEUX SANS TROIS;;10.52;9.99;AVENTURE;6051346;ALBIN MICHEL;9782226052889;HACHETTE;;;
BD000113;FLOC'H / RIVIERE;BLITZ;BLITZ - T1;;11.89;11.3;AVENTURE;6037691;ALBIN MICHEL;9782226088680;HACHETTE;;;
BD000114;FLOC'H / RIVIERE;BLITZ;UNDERGROUND - T2;;11.89;11.3;AVENTURE;6052021;ALBIN MICHEL;9782226088482;HACHETTE;;;
BD000115;FREMOND;LES CELIBATAIRES;LES CELIBATAIRES;;12.04;11.44;HUMOUR;6023956;ALBIN MICHEL;9782226053824;HACHETTE;;;
BD000116;GIBRAT / LEROI;PINOCCHIA;PINOCCHIA;;11.43;10.86;EROTIQUE;6051890;ALBIN MICHEL;9782226080028;HACHETTE;Et si Pinocchio était une fille ? Et si la poupée de bois prenait corps ? Et quel corps ! Et si elle n'était pas si innocente que ça ? Et si ça devenait un nouveau conte de fées, mais pour adultes avertis, cette fois-ci ?...;;
